,0
cc_elevatedbloodsugar-nosymptoms,8.884674600258628e-06
analrectal,8.881966000483398e-06
bladdercncr,8.862737712742003e-06
cc_generalizedbodyaches,8.745727469234725e-06
cc_poisoning,8.720262881012683e-06
cc_kneeinjury,8.691233648327469e-06
ecodesfall,8.655536590796216e-06
meds_antidotes,8.631683393882044e-06
cc_post-opproblem,8.624355723308483e-06
cc_sicklecellpain,8.542207238625378e-06
nonhodglym,8.520386609154629e-06
cc_numbness,8.408875176182352e-06
cc_leginjury,8.386286608794102e-06
adjustmentdisorders,8.327973831083581e-06
cc_nausea,8.32612615137692e-06
infmalegen,8.30565972444653e-06
cardiacanom,8.250534920412277e-06
cc_overdose-accidental,7.994646331785716e-06
opnwndhead,7.991955935630441e-06
cc_nearsyncope,7.953715079592143e-06
cc_nasalcongestion,7.839925087403159e-06
exameval,7.812643338678063e-06
adltrespfl,7.76968714190357e-06
bronchitis,7.679164792487155e-06
cc_irregularheartbeat,7.590283280568635e-06
cc_arminjury,7.523710743695175e-06
cc_respiratorydistress,7.494340640787778e-06
thyroidcncr,7.488778001825221e-06
cc_testiclepain,7.442157078805328e-06
cc_abdominalcramping,7.211284723653949e-06
cc_footswelling,7.182714438330522e-06
ectopicpreg,7.176667933616616e-06
cc_epigastricpain,7.08466776244911e-06
cc_insectbite,7.06981424606866e-06
htncomplicn,7.059889480167678e-06
menopausldx,7.048302599907479e-06
cc_detoxevaluation,7.018142213129475e-06
cc_facialpain,6.917848041891351e-06
cc_extremityweakness,6.843649036916167e-06
cc_toeinjury,6.725985949051257e-06
otcomplbir,6.705488783928145e-06
cc_earproblem,6.641584368043819e-06
cc_mass,6.595713004472445e-06
cc_sinusproblem,6.59487352568935e-06
prolapse,6.579009634328246e-06
feminfertil,6.496475829394295e-06
cc_cyst,6.492505115875833e-06
othcnsinfx,6.438136839346305e-06
cc_eyeredness,6.424431494416181e-06
kidnyrnlca,6.39982619125839e-06
otprimryca,6.398267167813434e-06
cc_eyeinjury,6.385441673227574e-06
cc_armswelling,6.378266509430075e-06
cc_bleeding/bruising,6.306286867915815e-06
htninpreg,6.294956002898364e-06
peritonitis,6.2455273980559705e-06
acqfootdef,6.210919050540822e-06
cc_skinproblem,6.1777112337751365e-06
hdnckcancr,6.1530773740668e-06
asppneumon,6.151533297315476e-06
fxhip,6.113911397674582e-06
comabrndmg,6.045935342821722e-06
giconganom,6.042385217528534e-06
cc_confusion,6.007949592837099e-06
hodgkinsds,5.984972693329685e-06
cc_chesttightness,5.961270230863311e-06
lateeffcvd,5.937364671976204e-06
ecodesunspecified,5.867843122857745e-06
guconganom,5.843928765543487e-06
"urineculture,routine_last",5.83450733781187e-06
superficinj,5.827980737733549e-06
cc_seizure-priorhxof,5.782589818462089e-06
cc_animalbite,5.773313655042959e-06
esophcancer,5.757060229150679e-06
tuberculosis,5.675283991456969e-06
meds_antihistamineanddecongestantcombination,5.652247463556063e-06
ovarycancer,5.623424475666988e-06
cc_wheezing,5.526084580170745e-06
varicosevn,5.517722586036584e-06
encephalitis,5.5111356787471285e-06
appendicitis,5.4516007210838495e-06
cc_multiplefalls,5.396274275407233e-06
artembolism,5.32691092899398e-06
cc_woundinfection,5.305569352126547e-06
cc_headlaceration,5.256856821652119e-06
cc_psychoticsymptoms,5.229986641995267e-06
complicdevi,5.157681649102148e-06
urinyorgca,5.0998371795386614e-06
